0,P00374
1,P00374
2,P00374
3,P00374
4,P00374
5,P00374
6,P00374
7,P00374
8,P00374
9,P00374
10,P00374
11,Q92793
12,Q6PL18
13,Q15059
14,Q15059
15,Q15059
16,Q15059
17,P25440
18,P25440
19,P25440
20,P25440
21,O60885
22,O60885
23,O60885
24,O60885
25,P61169
26,P61169
27,P34976
28,P02751
29,P27694
30,Q9H3N8
31,Q9Y6R4
32,Q9Y6R4
33,Q9Y6R4
34,Q9Y6M4
35,Q9Y6M4
36,Q9Y6E0
37,Q9Y6E0
38,Q9Y616
39,Q9Y616
40,Q9Y5S2
41,Q9Y5S2
42,Q9Y4K4
43,Q9Y4K4
44,Q9Y4K4
45,Q9Y463
46,Q9Y463
47,Q9Y2U5
48,Q9Y2K2
49,Q9Y2H9
50,Q9Y2H1
51,Q9Y2H1
52,Q9Y2H1
53,Q9Y243
54,Q9Y243
55,Q9UQM7
56,Q9UQM7
57,Q9UQM7
58,Q9UQB9
59,Q9UQB9
60,Q9UQB9
61,Q9UQ88
62,Q9UQ88
63,Q9UPZ9
64,Q9UPE1
65,Q9UM73
66,Q9UM73
67,Q9UL54
68,Q9UKI8
69,Q9UKI8
70,Q9UKE5
71,Q9UKE5
72,Q9UKE5
73,Q9UK32
74,Q9UK32
75,Q9UK32
76,Q9UK32
77,Q9UIK4
78,Q9UIK4
79,Q9UIK4
80,Q9UHD2
81,Q9UF33
82,Q9UF33
83,Q9UF33
84,Q9UF33
85,Q9UEW8
86,Q9UEE5
87,Q9UEE5
88,Q9UEE5
89,Q9UBF8
90,Q9UBE8
91,Q9UBE8
92,Q9P2K8
93,Q9P2K8
94,Q9P289
95,Q9P289
96,Q9P286
97,Q9P286
98,Q9P286
99,Q9P1W9
100,Q9P1W9
101,Q9P1W9
102,Q9P0L2
103,Q9P0L2
104,Q9NYY3
105,Q9NYL2
106,Q9NYL2
107,Q9NY57
108,Q9NY57
109,Q9NWZ3
110,Q9NSY1
111,Q9NSY1
112,Q9NSY1
113,Q9NRP7
114,Q9NRP7
115,Q9NRP7
116,Q9NRM7
117,Q9NRM7
118,Q9NRH2
119,Q9NQU5
120,Q9NQU5
121,Q9NQU5
122,Q9JI10
123,Q9HCP0
124,Q9HCP0
125,Q9HCP0
126,Q9HC98
127,Q9HC98
128,Q9HC98
129,Q9HBH9
130,Q9HBH9
131,Q9HBH9
132,Q9HAZ1
133,Q9HAZ1
134,Q9HAZ1
135,Q9H4B4
136,Q9H4B4
137,Q9H422
138,Q9H3Y6
139,Q9H3Y6
140,Q9H2X6
141,Q9H2K8
142,Q9H2G2
143,Q9H2G2
144,Q9H2G2
145,Q9H1R3
146,Q9H1R3
147,Q9H1R3
148,Q9H0K1
149,Q9H0K1
150,Q9H093
151,Q9H093
152,Q9C098
153,Q9C098
154,Q9BZL6
155,Q9BZL6
156,Q9BYT3
157,Q9BYT3
158,Q9BXA7
159,Q9BXA7
160,Q9BX84
161,Q9BWU1
162,Q9BWU1
163,Q9BVS4
164,Q9BUB5
165,Q9BUB5
166,Q9BRS2
167,Q9BRS2
168,Q9BQI3
169,Q99759
170,Q99755
171,Q99755
172,Q99683
173,Q99683
174,Q99683
175,Q99640
176,Q99640
177,Q99640
178,Q96SB4
179,Q96SB4
180,Q96RR4
181,Q96RR4
182,Q96RR4
183,Q96Q40
184,Q96PY6
185,Q96PY6
186,Q96NX5
187,Q96NX5
188,Q96NX5
189,Q96L34
190,Q96L34
191,Q96GD4
192,Q96GD4
193,Q96D53
194,Q96D53
195,Q96BR1
196,Q92918
197,Q92918
198,Q92772
199,Q92630
200,Q8WXR4
201,Q8WXR4
202,Q8WU08
203,Q8WTQ7
204,Q8TDX7
205,Q8TDX7
206,Q8TDR2
207,Q8TDC3
208,Q8TDC3
209,Q8TD19
210,Q8TD19
211,Q8TD19
212,Q8TD08
213,Q8TD08
214,Q8TBX8
215,Q8NI60
